Price,Address1,Address2,Room,Shower,Car,Size
"$555,000 to $610,500","108/66 Bent Street,",MCKINNON VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$699,950",BENTLEIGH VIC 3204,NG,2 Beds,2 Baths,1 Parking,NG
"$650,000 - $700,000","105/86 Truganini Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$605,000",CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,NG
PRIVATE SALE,"12/88 Orrong Road,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"102/389 Neerim Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"Private Sale $727,200","365-367 Neerim Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$545,000","1.07/1110 Dandenong Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,2 Parking,NG
"$625,000","912/1060 Dandenong Rd,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$490,000  - $539,000","5/389 Neerim Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$418,000 to $428,000","50/115 Neerim road,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,NG
Sale On Hold,CARNEGIE VIC 3163,NG,2 Beds,1 Bath,1 Parking,NG
"$560,000","27-29 Bent Street,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"134 McKinnon Road,",MCKINNON VIC 3204,3 Beds,2 Baths,2 Parking,NG
Contact Agent,"134 McKinnon Road,",MCKINNON VIC 3204,2 Beds,2 Baths,1 Parking,NG
Private Inspection,"677-679 Centre Road,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,1 Parking,NG
"$599,000",CARNEGIE VIC 3163,NG,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"9/5 Murrumbeena Road,",MURRUMBEENA VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$595,000","208/322-328A Centre Road,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$555,000","8/123 Murray Street,",CAULFIELD VIC 3162,2 Beds,1 Bath,1 Parking,NG
CONTACT AGENT,"Unit 2/88 Orrong Rd,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,NG
$649K,"5/6 Rosedale Ave,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"1/125-127 Mckinnon Road,",MCKINNON VIC 3204,2 Beds,1 Bath,1 Parking,NG
$595 000 - $605 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,84m
$610 000 to $620 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,150m
$550 000 - $560 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,81m
$575 000 -$580 000,BENTLEIGH EAST VIC 3165,NG,2 Beds,2 Baths,2 Parking,80m
$575 000 -$580 000,BENTLEIGH EAST VIC 3165,NG,2 Beds,2 Baths,2 Parking,80m
"$650,000 to $690,000","1/32 Jersey Parade,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
$575 000 -$585 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,NG
$650 000 - $675 000,BENTLEIGH VIC 3204,NG,2 Beds,2 Baths,1 Parking,82m
$555 000 - $565 000,BENTLEIGH VIC 3204,NG,2 Beds,1 Bath,1 Parking,70m
$575 000 - $585 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,83m
MUST INSPECT,"10/76 East Boundary Road,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,1 Parking,90m
"$750,000-$800,000","1/8 Rudyard Street,",BENTLEIGH EAST VIC 3165,3 Beds,2 Baths,1 Parking,NG
AUCTION THIS SATURDAY,"106/18 Etna Street,",GLEN HUNTLY VIC 3163,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"107/1170 Dandenong Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
$499K View Now,"2/173 McKinnon Road,",MCKINNON VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$629,000","8/25 Truganini Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$587,400","Level 5/1060 Dandenong Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
FORTHCOMING AUCTION,"315/9 Morton Avenue,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
$645 000 - $650 000,BENTLEIGH EAST VIC 3165,NG,2 Beds,2 Baths,1 Parking,94m
"$675,000 to $699,000","29 Railway Parade,",MURRUMBEENA VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$599,000",CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,NG
By Negotiation,"1/1170 Dandenong Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$715,000","2.22/801 Centre Road,",BENTLEIGH EAST VIC 3165,2 Beds,2 Baths,1 Parking,NG
"$595,000","G.09/801 Centre Road,",BENTLEIGH EAST VIC 3165,2 Beds,2 Baths,1 Parking,NG
$540 000 to $560 000,CARNEGIE VIC 3163,NG,2 Beds,1 Bath,1 Parking,NG
$575 000,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,NG
$560 000 to $565 000,BENTLEIGH VIC 3204,NG,2 Beds,1 Bath,1 Parking,NG
$650 000 to $655 000,BENTLEIGH VIC 3204,NG,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"323 Jasper Road,",ORMOND VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$622,700","1060 Dandenong Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"1060 Dandenong Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
Contract Price is AUD 587400,"1060 Dandenong Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"215/1060 Dandenong Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"Private Sale $500,000 to $540,000","Apt203/633 Centre Road,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,1 Parking,NG
FOR SALE - CONTACT AGENT,"257 Neerim Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$545,000-$565,000 OFFERS INVITED","405 Neerim Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$598,000","1. 16/407-411 Neerim road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
Contact Agent,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,NG
Contact Agent,BENTLEIGH EAST VIC 3165,NG,2 Beds,2 Baths,1 Parking,NG
Contact Agent,CARNEGIE VIC 3163,NG,2 Beds,1 Bath,1 Parking,NG
"$555,000",CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,85m
