Price,Address1,Address2,Room,Shower,Car,Size
"$669,000","1254 Glen Huntly Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,86m
"$599,000","1254 Glen Huntly Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,81m
"$520,000 - $570,000","3/1 Nangana Road,",MURRUMBEENA VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$545,000 -$599,500","108/67B Poath Road,",MURRUMBEENA VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$449,500","2/121 Tucker Road,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$599,950",MCKINNON VIC 3204,NG,2 Beds,2 Baths,1 Parking,NG
"$490,000 and $539,000","109/389 Neerim Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$550,000 - $599,000","6/846-848 Centre Road,",BENTLEIGH EAST VIC 3165,2 Beds,2 Baths,1 Parking,NG
"$390,000 - $429,000","103/284 Neerim Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"7/13 Waratah Avenue,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,NG
$625 000 - $649 000,"12/60-66 Patterson Road,",BENTLEIGH VIC 3204,3 Beds,2 Baths,2 Parking,NG
"$489,000","10/9 Maroona Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
Contact Agent,MCKINNON VIC 3204,NG,2 Beds,2 Baths,1 Parking,NG
"$500,000","6/16 Shepparson Avenue,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$450,000 - $470,000","404/8 Station Street,",CAULFIELD VIC 3162,2 Beds,1 Bath,1 Parking,NG
"Private Sale $555,000","4/1260 Glen Huntly Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$575,700",CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,NG
"$620,600",CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,NG
"$430,000-$460,000","2/45 Coorigil Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$650,000 - $700,000","105/86 Truganini Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
Contact Agent,CARNEGIE VIC 3163,NG,2 Beds,2 Baths,1 Parking,NG
PRIVATE SALE,"12/88 Orrong Road,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"102/389 Neerim Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"Private Sale $727,200","365-367 Neerim Road,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$625,000","912/1060 Dandenong Rd,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$490,000  - $539,000","5/389 Neerim Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$418,000 to $428,000","50/115 Neerim road,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,NG
"Private Sale $599,000","4/15 Bent Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"108/253-255 Neerim Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$560,000","27-29 Bent Street,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"134 McKinnon Road,",MCKINNON VIC 3204,3 Beds,2 Baths,2 Parking,NG
Contact Agent,"134 McKinnon Road,",MCKINNON VIC 3204,2 Beds,2 Baths,1 Parking,NG
Private Inspection,"677-679 Centre Road,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,1 Parking,NG
"$599,000",CARNEGIE VIC 3163,NG,2 Beds,1 Bath,1 Parking,NG
"$555,000","8/123 Murray Street,",CAULFIELD VIC 3162,2 Beds,1 Bath,1 Parking,NG
