Price,Address1,Address2,Room,Shower,Car,Size
"Private Sale $659,000","103/372 Johnston Street,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,NG
"$680,000 - $740,000","16/27 Green Island Avenue,",MOUNT MARTHA VIC 3934,3 Beds,2 Baths,2 Parking,NG
"$520,000 - $570,000","107E/8 Burnley Street,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,NG
"$580,000","2/75 Drummond Street,",CARLTON VIC 3053,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"33/70 Albert Road,",SOUTH MELBOURNE VIC 3205,2 Beds,2 Baths,2 Parking,NG
"Private Sale $600,000","1/14 Mccoll Court,",BRUNSWICK WEST VIC 3055,2 Beds,1 Bath,1 Parking,NG
"Private Sale $830,000","428/220 Bay Road,",SANDRINGHAM VIC 3191,2 Beds,2 Baths,1 Parking,NG
For Sale,"206/29-31 Swindon Road,",HUGHESDALE VIC 3166,2 Beds,2 Baths,1 Parking,NG
"$280,000-$300,000","11/99 McCrae street,",DANDENONG VIC 3175,2 Beds,1 Bath,1 Parking,NG
"$549,000","320/74 Queens Road,",MELBOURNE 3004 VIC 3004,2 Beds,2 Baths,1 Parking,NG
"$400,000 - $440,000","1/22 Hughes Crescent,",DANDENONG NORTH VIC 3175,2 Beds,1 Bath,1 Parking,NG
"$599,500 - $609,500","7/1 ST GEORGES AVENUE,",BENTLEIGH EAST VIC 3165,2 Beds,2 Baths,1 Parking,78m
"Private Sale $679,000","409v/162 Albert Street,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,1 Parking,NG
"$645,000","209/25 Alma Road,",ST KILDA VIC 3182,2 Beds,2 Baths,1 Parking,NG
"$510,000","717/1 Lygon  Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,NG
"$610,000","106/10-14 Hope Street,",BRUNSWICK VIC 3056,2 Beds,2 Baths,1 Parking,NG
"$250,000-$270,000","13/116 Princes Highway,",DANDENONG VIC 3175,2 Beds,1 Bath,1 Parking,NG
"Private Sale $445,000","108/44 Brunswick Street,",FITZROY VIC 3065,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"105/1217 Centre Road,",OAKLEIGH SOUTH VIC 3167,2 Beds,2 Baths,1 Parking,NG
"Private Sale $525,000","4004/189 Weston Street,",BRUNSWICK EAST VIC 3057,2 Beds,1 Bath,1 Parking,NG
"$915,000","9/126 Centre Road,",BRIGHTON EAST VIC 3187,3 Beds,2 Baths,1 Parking,NG
Contact Agent,"1703/50 Albert Road,",SOUTH MELBOURNE VIC 3205,2 Beds,2 Baths,1 Parking,NG
For Sale,"5/2 Edith Street,",DANDENONG VIC 3175,2 Beds,1 Bath,1 Parking,NG
Online Auction,"615/70 Batesford Road,",CHADSTONE VIC 3148,2 Beds,1 Bath,1 Parking,NG
Private Sale,"101/32 Adrian Street,",CHADSTONE VIC 3148,2 Beds,2 Baths,1 Parking,NG
"From $690,000- $1,350,000","1 Lyall Road,",BERWICK VIC 3806,2 Beds,2 Baths,2 Parking,NG
Contact agent,"211/1453-1457 North Road,",CLAYTON VIC 3168,2 Beds,1 Bath,1 Parking,NG
"$350,000 - $385,000","10/98 Kelvinside Road,",NOBLE PARK VIC 3174,3 Beds,1 Bath,1 Parking,NG
Auction,"3/74 James Street,",DANDENONG VIC 3175,2 Beds,1 Bath,1 Parking,NG
"$509,000 - $545,000","G04/16 Lomandra Drive,",CLAYTON SOUTH VIC 3169,2 Beds,2 Baths,1 Parking,NG
Contact agent for details,"1601N/889 Collins Street,",DOCKLANDS VIC 3008,2 Beds,1 Bath,1 Parking,NG
"$495,000 - $530,000","1/134 Warrigal Road,",MENTONE VIC 3194,2 Beds,1 Bath,2 Parking,NG
"$650,000 - $680,000","5/9 Dickens Street,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,NG
"$480,000 - $520,000","2/47 Sylvia Street,",DANDENONG NORTH VIC 3175,2 Beds,2 Baths,1 Parking,NG
"$450,000 - $495,000","1/18 Third Avenue,",DANDENONG NORTH VIC 3175,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"46/62 Wellington Street,",ST KILDA VIC 3182,2 Beds,2 Baths,2 Parking,NG
"$680,000 - $720,000","1/6 Lillimur Road,",ORMOND VIC 3204,2 Beds,1 Bath,2 Parking,NG
"$650,000 - $700,000","5/2 Matthieson Street,",HIGHETT VIC 3190,2 Beds,1 Bath,1 Parking,NG
"$700,000-$770,000","505/1 Lynne Avenue,",WANTIRNA SOUTH VIC 3152,3 Beds,2 Baths,2 Parking,NG
"$395,000 - $430,000","42/35 David Street,",DANDENONG VIC 3175,2 Beds,2 Baths,1 Parking,NG
"$660,000","9.06/288 Albert Street,",BRUNSWICK VIC 3056,2 Beds,2 Baths,1 Parking,NG
"$790,000 - $840,000","304/15 Maude Street,",CHELTENHAM VIC 3192,3 Beds,2 Baths,2 Parking,NG
"$800,000 - $880,000","11/2 Marne Street,",SOUTH YARRA VIC 3141,2 Beds,1 Bath,1 Parking,NG
"$430,000 - $470,000","2/4 Brentford Court,",NOBLE PARK NORTH VIC 3174,2 Beds,1 Bath,1 Parking,411m
"$320,000 - $350,000","3/13 Second Avenue,",DANDENONG NORTH VIC 3175,2 Beds,1 Bath,1 Parking,101m
"Private Sale $795,000","1205e/9 Robert Street,",COLLINGWOOD VIC 3066,2 Beds,2 Baths,1 Parking,NG
"$780,000 - $825,000","204/356 Barkly Street,",ELWOOD VIC 3184,2 Beds,2 Baths,1 Parking,NG
"$440,000 - $480,000","39/48-52 Ellen Street,",SPRINGVALE VIC 3171,2 Beds,1 Bath,1 Parking,NG
"$710,000 - $760,000","7/36 The Avenue,",BALACLAVA VIC 3183,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"7/195 Brighton Road,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,NG
"$365,000","8/59-73 Gladesville Blvd,",PATTERSON LAKES VIC 3197,2 Beds,1 Bath,1 Parking,NG
"$639,000","407/7 Belford Street,",ST KILDA VIC 3182,2 Beds,2 Baths,1 Parking,NG
"$530,000-$560,000","2/92 Barkly Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
"$530,000 -$580,000","6/197 Lennox Street,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,NG
"$500,000 - $550,000","504/1 Lynne Avenue,",WANTIRNA SOUTH VIC 3152,2 Beds,2 Baths,1 Parking,NG
"$625,000-$675,000","407/1 Dyer Street,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,NG
"Private Sale $919,000","106/416 Gore Street,",FITZROY VIC 3065,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"11/1 Karrakatta Street,",BLACK ROCK VIC 3193,2 Beds,2 Baths,1 Parking,NG
Auction,"18/5-7 Collocott Street,",MORDIALLOC VIC 3195,2 Beds,1 Bath,2 Parking,NG
Expressions of Interest,"104/1a Paxton Street,",MALVERN EAST VIC 3145,2 Beds,1 Bath,1 Parking,NG
"$380,000 - $405,000","2/5 Meek Street,",WERRIBEE VIC 3030,2 Beds,1 Bath,1 Parking,141m
"Auction $780,000 - $820,000","4/108 Cambridge Street,",COLLINGWOOD VIC 3066,2 Beds,1 Bath,2 Parking,NG
"$370,000 - $399,000","2/15 Lecky  Street,",CRANBOURNE VIC 3977,3 Beds,1 Bath,1 Parking,NG
Expressions of Interest,"105/25 Trent Street,",GLEN IRIS VIC 3146,2 Beds,2 Baths,2 Parking,NG
"$609,000","230/20 Shamrock Street,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,NG
"$490,000-$530,000","103/88 Cade Way,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,NG
"$670,000 - $690,000","160/73 River Street,",RICHMOND VIC 3121,2 Beds,2 Baths,2 Parking,NG
Contact Agent,"6/369 Abbotsford Street,",NORTH MELBOURNE VIC 3051,2 Beds,1 Bath,1 Parking,NG
"$420,000 - $440,000","58a Barbara Avenue,",DANDENONG NORTH VIC 3175,2 Beds,1 Bath,1 Parking,320m
"$600,000 - $630,000","108/25 Nicholson Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$495,000 - $540,000","1/27 Pryor Street,",ELTHAM VIC 3095,2 Beds,1 Bath,1 Parking,128m
"$460,000 - $490,000","1/13 Vizard Street,",DANDENONG VIC 3175,3 Beds,1 Bath,1 Parking,371m
Private Sale,"2/10 Moira Grove,",GLEN WAVERLEY VIC 3150,2 Beds,1 Bath,2 Parking,NG
"$470,000-$510,000","64 Rebecca Street,",DOVETON VIC 3177,3 Beds,1 Bath,2 Parking,315m
"$525,000 - $555,000","3/5 Reserve Road,",GROVEDALE VIC 3216,3 Beds,2 Baths,2 Parking,365m
$395 - $420k,"5/205 Mason Street,",NEWPORT VIC 3015,2 Beds,1 Bath,1 Parking,NG
"$599,000 after incentives","G09/1058-1060 Doncaster Road,",DONCASTER EAST VIC 3109,2 Beds,2 Baths,1 Parking,NG
"Private Sale $859,000","23/86 Burnley Street,",RICHMOND VIC 3121,3 Beds,2 Baths,2 Parking,NG
"$430,000 - $473,000","103/436 Stud Road,",WANTIRNA SOUTH VIC 3152,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"208/1 Langs Road,",ASCOT VALE VIC 3032,2 Beds,1 Bath,1 Parking,NG
"$375,000 - $395,000","9/34 Beetham Parade,",ROSANNA VIC 3084,2 Beds,1 Bath,1 Parking,NG
"Private Sale $405,000 - $418,000","302/28-30 Warwick Avenue,",SPRINGVALE VIC 3171,2 Beds,1 Bath,1 Parking,NG
$770k - $790k,"410/25 Windsor Terrace,",WILLIAMSTOWN VIC 3016,2 Beds,1 Bath,1 Parking,NG
"$840,000 - $900,000","302/3 Elliott Avenue,",CARNEGIE VIC 3163,3 Beds,2 Baths,2 Parking,NG
"$590,000-$630,000","226/253 Bridge Road,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"104/27 Lansdowne Road,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,NG
"$530,000 - $580,000","212/173-177 Barkly Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
"$439,000","103b/8 Grosvenor Street,",ABBOTSFORD VIC 3067,2 Beds,1 Bath,1 Parking,NG
"$899,000","1/25 Larnook Street,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,NG
"Private Sale $649,000","104/139 Noone Street,",CLIFTON HILL VIC 3068,2 Beds,2 Baths,1 Parking,NG
"$730,000 - $770,000","3/4 John Street,",ELWOOD VIC 3184,3 Beds,1 Bath,1 Parking,NG
"$620,000 to $645,000","G11/339 Burnley Street,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,NG
"$499,000 to $525,000 PRIVATE INSPECTION AVAILABLE","2603/36 La Trobe Street,",MELBOURNE VIC 3000,2 Beds,1 Bath, Parking,NG
"$775,000","5/16 Charnwood Road,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
"Private Sale $450,000","611/11 Flockhart Street,",ABBOTSFORD VIC 3067,2 Beds,1 Bath,1 Parking,NG
"Private Sale $619,000","7/678 Lygon Street,",CARLTON NORTH VIC 3054,2 Beds,1 Bath,1 Parking,NG
"$750,000 All reasonable offers considered","108/7 Cowra Street,",BRIGHTON VIC 3186,2 Beds,2 Baths,1 Parking,NG
"$750,000 - $798,000","801/12 Yarra Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,1 Parking,NG
"Private Sale $579,000","103/85 Hutton Street,",THORNBURY VIC 3071,2 Beds,2 Baths,1 Parking,NG
"$795,000","6/95 Wilson Street,",BRIGHTON VIC 3186,2 Beds,1 Bath,1 Parking,NG
"Private Sale $575,000","506/8 Breavington Way,",NORTHCOTE VIC 3070,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"12/35 Pickett Street,",FOOTSCRAY VIC 3011,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"604/6B Evergreen Mews,",ARMADALE VIC 3143,2 Beds,2 Baths,2 Parking,NG
"Private Sale $729,000","G05/208 Lower Heidelberg Road,",IVANHOE EAST VIC 3079,2 Beds,1 Bath,1 Parking,NG
"Private Sale $605,000","11/37 Staley Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,NG
"$680,000-$695,000","2/6 Scott Street,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,NG
"Private Sale $975,000","204/61 Rose Street,",FITZROY VIC 3065,2 Beds,2 Baths,1 Parking,NG
"$375,000 - $410,000","15A Wattle Drive,",DOVETON VIC 3177,3 Beds,1 Bath,2 Parking,NG
"$420,000 - $460,000","17/43 Doveton Ave,",EUMEMMERRING VIC 3177,2 Beds,1 Bath,1 Parking,NG
"Private Sale $590,000","6/105 Grange Road,",FAIRFIELD VIC 3078,2 Beds,1 Bath,1 Parking,NG
"Private Sale $635,000","1/184 Normanby Avenue,",THORNBURY VIC 3071,2 Beds,1 Bath,1 Parking,NG
"$600,000 - $650,000","201/1615 Malvern Road,",GLEN IRIS VIC 3146,2 Beds,1 Bath,1 Parking,NG
"$585,000","411/181 Exhibition Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,NG
"$660,000","202/204-206 Lower Heidelberg Road,",IVANHOE EAST VIC 3079,2 Beds,2 Baths,1 Parking,NG
Must Be Sold!!!,"8/4 Albert Avenue,",OAKLEIGH VIC 3166,2 Beds,1 Bath,1 Parking,NG
"$360,000 - $395,000","609/157 Lonsdale Street,",DANDENONG VIC 3175,2 Beds,2 Baths,1 Parking,NG
"$360,000 - $396,000","505/28-30 Warwick Avenue,",SPRINGVALE VIC 3171,2 Beds,1 Bath,1 Parking,NG
"$780,000 to $840,000","1/13 Edwardes Street,",BERWICK VIC 3806,2 Beds,2 Baths,1 Parking,NG
"$465000 - $495,000","23/49 Haines Street,",NORTH MELBOURNE VIC 3051,2 Beds,1 Bath,1 Parking,NG
"$680,000-$740,000","6 Bank Road,",EDITHVALE VIC 3196,2 Beds,2 Baths,1 Parking,NG
"$280,000-$300,000","3/79 Potter Street,",DANDENONG VIC 3175,2 Beds,1 Bath, Parking,NG
Contact Agent,"1-17/66 Waterloo Road,",NORTHCOTE VIC 3070,2 Beds,2 Baths,1 Parking,NG
"$825,000 - $850,000","607E/126 Rouse Street,",PORT MELBOURNE VIC 3207,2 Beds,2 Baths,1 Parking,NG
"$579,000","306/101 St Kilda Road,",ST KILDA VIC 3182,2 Beds,2 Baths,1 Parking,NG
2 Apartments to Choose from!,"2&15/12-16 Carrum Street,",MALVERN EAST VIC 3145,2 Beds,2 Baths,1 Parking,NG
"Private Sale $599,000","206/443 Upper Heidelberg,",IVANHOE VIC 3079,2 Beds,2 Baths,1 Parking,NG
"Private Sale $569,000","1001/551 Swanston Street,",CARLTON VIC 3053,2 Beds,2 Baths,1 Parking,NG
"$430,000 - $450,000","328/70 Batesford Road,",CHADSTONE VIC 3148,2 Beds,1 Bath,1 Parking,NG
"SALE FROM $450,000-$475,000","202/5-7 Dixon Street,",CLAYTON VIC 3168,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"67 Katrina Street,",BLACKBURN NORTH VIC 3130,2 Beds,2 Baths,1 Parking,NG
"For Sale $390,000 - $420,000","24/1324 Centre Road,",CLAYTON SOUTH VIC 3169,2 Beds,1 Bath,1 Parking,NG
PRIVATE SALE!,"309,116/1728 Dandenong Road,",CLAYTON VIC 3168,2 Beds,1 Bath, Parking,NG
Contact agent,"103/1728 Dandenong Road,",CLAYTON VIC 3168,2 Beds,1 Bath,1 Parking,NG
"$690,000","1/19 Livingstone Street,",IVANHOE VIC 3079,2 Beds,1 Bath,1 Parking,NG
"$690,000","2206/50 Lorimer Street,",DOCKLANDS VIC 3008,2 Beds,1 Bath,1 Parking,87m
"$510,000 - $560,000","2/799 Burwood Road,",HAWTHORN EAST VIC 3123,2 Beds,1 Bath,1 Parking,NG
"$480,000 - $510,000","7/9 Hewitt Avenue,",FOOTSCRAY VIC 3011,2 Beds,1 Bath,1 Parking,NG
Expressions of Interest - Apartment and Shop,"103/1024 Mt Alexander Road,",ESSENDON VIC 3040,2 Beds,1 Bath,2 Parking,NG
"$595,000 - $650,000","2/1 Crown Avenue,",MORDIALLOC VIC 3195,2 Beds,1 Bath,1 Parking,NG
"$730,000 - $800,000","1/85 Pleasant Road,",HAWTHORN EAST VIC 3123,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"302/20 Camberwell Road,",HAWTHORN EAST VIC 3123,2 Beds,2 Baths,1 Parking,NG
"$395,000 - $420,000","10/74 Barrabool Road,",HIGHTON VIC 3216,2 Beds,1 Bath,2 Parking,261m
"$590,000 - $630,000","406/88 Trenerry Crescent,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,NG
"$590,000 - $645,000","609/636 High Street,",THORNBURY VIC 3071,2 Beds,2 Baths,1 Parking,NG
"Private Sale $520,000","104/30 La Scala Avenue,",MARIBYRNONG VIC 3032,2 Beds,2 Baths,1 Parking,NG
"$500,000 - $550,000","1003/5 Sutherland Street,",MELBOURNE VIC 3000,2 Beds,2 Baths, Parking,NG
"$369,000 - $399,000","1/23 Francis Street,",BELMONT VIC 3216,2 Beds,1 Bath,2 Parking,NG
"$430,000 - $440,000","4/28 Bishop Street,",KINGSVILLE VIC 3012,2 Beds,1 Bath,1 Parking,NG
Auction - Feb 20th @ 11am,"2/4 Meryl Street,",DONCASTER EAST VIC 3109,3 Beds,2 Baths,1 Parking,NG
"$430,000 - $470,000","40/17 Eucalyptus Drive,",MAIDSTONE VIC 3012,2 Beds,2 Baths,1 Parking,NG
"$550,000 to $600,000","3/30 Chesterville Road,",CHELTENHAM VIC 3192,2 Beds,1 Bath,1 Parking,NG
"$490,000","35/2 Horizon Drive,",MARIBYRNONG VIC 3032,2 Beds,2 Baths,2 Parking,NG
Contact Agent,"5/64 Para Road,",MONTMORENCY VIC 3094,2 Beds,1 Bath,1 Parking,NG
"$550,000 - $595,000","2/66 Blyth Street,",ALTONA VIC 3018,2 Beds,1 Bath,1 Parking,165m
"$339,000 - $369,000","2/74 Barrabool Road,",HIGHTON VIC 3216,2 Beds,1 Bath,1 Parking,NG
"Private Sale $570,000","4/1260 Glen Huntly Road,",CARNEGIE VIC 3163,2 Beds,1 Bath,1 Parking,NG
"$680,000 - $740,000","1/34 Marchiori Road,",BLACKBURN NORTH VIC 3130,2 Beds,1 Bath,1 Parking,246m
"$740,000-$780,000","3/141 Marshall Street,",IVANHOE VIC 3079,2 Beds,1 Bath,1 Parking,NG
"$450,000 - $495,000","4/12 Grange Road,",ALPHINGTON VIC 3078,2 Beds,1 Bath,1 Parking,NG
"$900,000 - $950,000","8/14 Fewster Rd,",HAMPTON VIC 3188,3 Beds,1 Bath,2 Parking,NG
"$450,000  - $495,000","115/35 Plenty Road,",PRESTON VIC 3072,2 Beds,2 Baths,1 Parking,NG
"$670,000 - $710,000","7/65 Stawell Street,",RICHMOND VIC 3121,2 Beds,1 Bath,1 Parking,NG
"$620,000 to $680,000","24/12-14 Venice Street,",MENTONE VIC 3194,2 Beds,1 Bath, Parking,NG
"$680,000 - $720,000","202/22 Peel Street,",COLLINGWOOD VIC 3066,2 Beds,2 Baths,1 Parking,NG
"$580,000 - $630,000","5/310 Mansfield Street,",THORNBURY VIC 3071,2 Beds,1 Bath,1 Parking,NG
"Private Sale $565,000 - $595,000","1608/2 Claremont Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,1 Parking,NG
"$480,000 - $528,000","15/2 Arthur Street,",PRESTON VIC 3072,2 Beds,1 Bath,1 Parking,NG
PRIVATE SALE,"Unit 109/437 Bay St,",BRIGHTON VIC 3186,2 Beds,2 Baths,1 Parking,NG
"$549,950","1/297 Jasper Road,",ORMOND VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$700,000 - $750,000","103/108 Haines  Street,",NORTH MELBOURNE VIC 3051,2 Beds,2 Baths,1 Parking,NG
"$680,000 - $710,000","98/632 St Kilda Road,",MELBOURNE 3004 VIC 3004,2 Beds,1 Bath,1 Parking,NG
"$619,000","301/1443 Dandenong Road,",MALVERN EAST VIC 3145,2 Beds,2 Baths,1 Parking,NG
"$699,000","201/1443 Dandenong Road,",MALVERN EAST VIC 3145,2 Beds,2 Baths,1 Parking,NG
"$685,000","103/1443 Dandenong Road,",MALVERN EAST VIC 3145,2 Beds,2 Baths,1 Parking,NG
"$600,000 - $650,000","3/89 Kangaroo Road,",HUGHESDALE VIC 3166,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"512/1 Acacia Place,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,3 Parking,NG
THE DEAL: $630k - $670k,"201/74 Queens Road,",MELBOURNE 3004 VIC 3004,2 Beds,2 Baths,1 Parking,NG
"$550,000 - $580,000","1/245-249 Nicholson Street,",SEDDON VIC 3011,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"10/184 Albert Road,",SOUTH MELBOURNE VIC 3205,2 Beds,2 Baths,2 Parking,NG
"$430,000 - $470,000","5/26 Eumeralla Road,",CAULFIELD SOUTH VIC 3162,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"7/5 Robe Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
Private Sale By Negotiation,"25 Lockwood Court,",FRASER RISE VIC 3336,2 Beds,2 Baths,1 Parking,NG
"$650,000","508/1 Danks Street,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,1 Parking,NG
Private Sale By Negotiation,"6/22 Irvine Street,",DEER PARK VIC 3023,2 Beds,1 Bath,1 Parking,NG
"$750,000 - $825,000","210/555 St Kilda Road,",MELBOURNE 3004 VIC 3004,2 Beds,2 Baths,1 Parking,NG
"$530,000 - $583,000","18/40 Upton Road,",PRAHRAN VIC 3181,2 Beds,1 Bath, Parking,NG
"$640,000 - $670,000","2/126 Centre Road,",BRIGHTON EAST VIC 3187,2 Beds,1 Bath,1 Parking,NG
"$500,000 - $550,000","4/14 Miller Street,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,NG
"$410,000 - $450,000","17/8 Crefden Street,",MAIDSTONE VIC 3012,2 Beds,1 Bath,1 Parking,NG
"$3990,000 - $4290000","2/97 Greens Road,",WYNDHAM VALE VIC 3024,3 Beds,2 Baths,1 Parking,NG
"$900,000 - $930,000","414/88 Trenerry Crescent,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,2 Parking,NG
"$850,000 - $900,000","1104/81 South Wharf Drive,",DOCKLANDS VIC 3008,2 Beds,2 Baths,1 Parking,NG
"$700,000 - $770,000","2/9 Macgowan Avenue,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,720m
"$600,000 to $660,000","3/60 Turner Road,",HIGHETT VIC 3190,2 Beds,2 Baths,1 Parking,NG
"$720,000 - $790,000","106/636 High Street,",THORNBURY VIC 3071,3 Beds,2 Baths,2 Parking,NG
"$520,000 - $540,000","614/6 Station Street,",MOORABBIN VIC 3189,2 Beds,2 Baths,1 Parking,82m
"$600,000 - $650,000","4/32 Queens Road,",MELBOURNE 3004 VIC 3004,2 Beds,1 Bath,1 Parking,NG
"$735,000 - $775,000 | Auction 6th Feb @1.30pm","1/3 Rae Street,",CHADSTONE VIC 3148,3 Beds,1 Bath,2 Parking,285m
"$399,000 - $438,000","2/148 South Valley Road,",HIGHTON VIC 3216,2 Beds,1 Bath,1 Parking,NG
"$550,000 - $600,000","2/6 Riviera Street,",MENTONE VIC 3194,2 Beds,1 Bath,1 Parking,NG
"$570,000-$620,000","30/114 Mason Street,",NEWPORT VIC 3015,2 Beds,2 Baths,2 Parking,NG
"$520,000 - $570,000","193/28 Little Lonsdale  Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"2/4 Greenbelt Avenue,",PRESTON VIC 3072,2 Beds,1 Bath,2 Parking,NG
"$650,000 - $715,000","2/30-32 Dare Street,",OCEAN GROVE VIC 3226,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"502/9 Red Hill Terrace,",DONCASTER EAST VIC 3109,2 Beds,1 Bath,1 Parking,NG
"$420,000 - $460,000","3/110 Maribyrnong Road,",MOONEE PONDS VIC 3039,2 Beds,1 Bath,1 Parking,NG
"$480,000 - $495,000","3/58 La Scala  Avenue,",MARIBYRNONG VIC 3032,2 Beds,2 Baths,1 Parking,NG
"$450,000 - $490,000","14/30 Lillimur Road,",ORMOND VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$780,000 - $820,000","G02/187-195 Graham  Street,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,1 Parking,NG
"$530,000 - $580,000","10/154 Alma Road,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,NG
"$780,000 - $830,000","1/12 Richard Street,",BENTLEIGH EAST VIC 3165,3 Beds,1 Bath,1 Parking,NG
AUCTION SATURDAY 6 MARCH AT 11.00AM,"Unit 4/253 New St,",BRIGHTON VIC 3186,2 Beds,1 Bath,1 Parking,NG
"$880,000 - $920,000","7/5-7 Napoleon Street,",COLLINGWOOD VIC 3066,2 Beds,2 Baths,2 Parking,NG
"$730,000 - $800,000","5/15 Booran Road,",CAULFIELD VIC 3162,2 Beds,1 Bath,1 Parking,NG
"$480,000 - $520,000","3/21 Lillimur Road,",ORMOND VIC 3204,2 Beds,1 Bath,1 Parking,NG
"ESR $630,000 - $690,000","3/30 George Street,",GLENROY VIC 3046,3 Beds,2 Baths,2 Parking,208m
"$540,000 - $590,000","502/495 Rathdowne Street,",CARLTON VIC 3053,2 Beds,1 Bath,1 Parking,NG
"$590,000 - $620,000","210/300 Swanston Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,NG
"$435,000","201/32 La Scala Avenue,",MARIBYRNONG VIC 3032,2 Beds,1 Bath,1 Parking,NG
"$830,000 to $880,000","18/117 Caroline Street,",SOUTH YARRA VIC 3141,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"9/27 Green Island Avenue,",MOUNT MARTHA VIC 3934,4 Beds,2 Baths,2 Parking,NG
"$440,000-$460,000","304/11 Central Avenue,",MOORABBIN VIC 3189,2 Beds,2 Baths,1 Parking,NG
AUCTION SATURDAY 20 FEBRUARY AT 12.00PM,"Unit 1/4 Lydia St,",BENTLEIGH VIC 3204,3 Beds,1 Bath,1 Parking,NG
"ESR $595,000 - $615,000","1/24 Barbara Street,",HADFIELD VIC 3046,2 Beds,1 Bath,2 Parking,244m
Contact Agent,"605/360 Lygon Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,NG
"Private Sale $640,000 - $695,000","4/646 Warrigal Road,",OAKLEIGH SOUTH VIC 3167,2 Beds,1 Bath,1 Parking,NG
"$845,000","503/148 Wells Street,",SOUTH MELBOURNE VIC 3205,3 Beds,2 Baths,2 Parking,NG
"Private Sale $599,000","4/15 Bent Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$439,000","9/1126 North Road,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,1 Parking,NG
"$350,000","19/11 Kent Street,",BRAYBROOK VIC 3019,2 Beds,1 Bath,1 Parking,NG
"$530,000 - $580,000","2/29 Arthur Street,",COBURG VIC 3058,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"1/279 New Street,",BRIGHTON VIC 3186,2 Beds,1 Bath,1 Parking,93m
"$390,000 - $420,000","1/38 Clarke Avenue,",BELMONT VIC 3216,2 Beds,1 Bath,1 Parking,NG
"$580,000 - $625,000","203/144 Queens Parade,",FITZROY NORTH VIC 3068,2 Beds,2 Baths,1 Parking,NG
"$439,000","1/17-19 Barramundi Ave,",SMITHS BEACH VIC 3922,3 Beds,1 Bath,1 Parking,311m
