Price,Address1,Address2,Room,Shower,Car,Size
Contact Agent,"4/1452 Malvern Road,",GLEN IRIS VIC 3146,2 Beds,1 Bath,1 Parking,NG
"$620,000 - $670,000","14/42 Latrobe Street,",MENTONE VIC 3194,2 Beds,1 Bath,1 Parking,NG
"Private Sale $775,000","403/85 Hutton Street,",THORNBURY VIC 3071,2 Beds,2 Baths,1 Parking,NG
"$890,000 - $930,000","7/153 Kooyong Road,",TOORAK VIC 3142,2 Beds,2 Baths,2 Parking,NG
"$570,000 - $600,000","14/124 Alma Road,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,NG
"$495,000 - $544,500","1/26 Glenola Road,",CHELSEA VIC 3196,2 Beds,1 Bath,1 Parking,170m
"$470,000-$500,000","17/93 Argyle Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
"$490,000 - $530,000","9/18 Station Road,",WILLIAMSTOWN VIC 3016,2 Beds,1 Bath,1 Parking,NG
"$420,000 - $440,000","2/33 Harmony Drive,",TARNEIT VIC 3029,3 Beds,1 Bath,1 Parking,271m
"$550,000 - $600,000","6/24 Como Street,",ALPHINGTON VIC 3078,2 Beds,1 Bath,1 Parking,NG
"$695,000","31/539 St Kilda Road,",MELBOURNE 3004 VIC 3004,2 Beds,2 Baths,2 Parking,140m
"$680,000 - $745,000","1/62 Bonnieview Road,",CROYDON NORTH VIC 3136,3 Beds,2 Baths,2 Parking,235m
"$585,000","2/15-17 Lower Plenty Road,",ROSANNA VIC 3084,2 Beds,1 Bath,1 Parking,NG
"$650,000 - $710,000","2/57 Prince Street,",MORNINGTON VIC 3931,3 Beds,2 Baths,1 Parking,260m
"Auction $620,000 - $680,000","11/109 Wilson Street,",CARLTON NORTH VIC 3054,2 Beds,1 Bath,1 Parking,NG
"$930,000 - $1,020,000","55/183 Kerr Street,",FITZROY VIC 3065,2 Beds,1 Bath,1 Parking,NG
"From $545,000","3 Chesterville Road,",CHELTENHAM VIC 3192,2 Beds,2 Baths,1 Parking,NG
"$670,000","403/200 Toorak Road,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,1 Parking,NG
"$700,000 - $740,000","2/3 Centre Court,",HIGHETT VIC 3190,2 Beds,1 Bath,1 Parking,211m
